id,weight,total_win,base_win,free_win,super_win,criteria
0,12927263996,0.00,0.00,0.00,0.00,0
1,12927263996,0.00,0.00,0.00,0.00,0
2,12927263996,0.00,0.00,0.00,0.00,0
3,12927263996,0.00,0.00,0.00,0.00,0
4,5744839855,11.16,11.16,0.00,0.00,basegame
5,12927263996,0.00,0.00,0.00,0.00,0
6,5744839855,2.97,2.97,0.00,0.00,basegame
7,12927263996,0.00,0.00,0.00,0.00,0
8,5744839855,0.71,0.71,0.00,0.00,basegame
9,12927263996,0.00,0.00,0.00,0.00,0
10,12927263996,0.00,0.00,0.00,0.00,0
11,12927263996,0.00,0.00,0.00,0.00,0
12,12927263996,0.00,0.00,0.00,0.00,0
13,12927263996,0.00,0.00,0.00,0.00,0
14,5744839855,2.83,2.83,0.00,0.00,basegame
15,12927263996,0.00,0.00,0.00,0.00,0
16,5744839855,2.61,2.61,0.00,0.00,basegame
17,12927263996,0.00,0.00,0.00,0.00,0
18,12927263996,0.00,0.00,0.00,0.00,0
19,12927263996,0.00,0.00,0.00,0.00,0
20,12927263996,0.00,0.00,0.00,0.00,0
21,12927263996,0.00,0.00,0.00,0.00,0
22,5744839855,0.35,0.35,0.00,0.00,basegame
23,12927263996,0.00,0.00,0.00,0.00,0
24,12927263996,0.00,0.00,0.00,0.00,0
25,12927263996,0.00,0.00,0.00,0.00,0
26,5744839855,0.35,0.35,0.00,0.00,basegame
27,5744839855,0.35,0.35,0.00,0.00,basegame
28,12927263996,0.00,0.00,0.00,0.00,0
29,12927263996,0.00,0.00,0.00,0.00,0
30,12927263996,0.00,0.00,0.00,0.00,0
31,5744839855,1.20,1.20,0.00,0.00,basegame
32,12927263996,0.00,0.00,0.00,0.00,0
33,5744839855,0.71,0.71,0.00,0.00,basegame
34,5744839855,0.71,0.71,0.00,0.00,basegame
35,12927263996,0.00,0.00,0.00,0.00,0
36,12927263996,0.00,0.00,0.00,0.00,0
37,12927263996,0.00,0.00,0.00,0.00,0
38,12927263996,0.00,0.00,0.00,0.00,0
39,5744839855,3.39,3.39,0.00,0.00,basegame
40,12927263996,0.00,0.00,0.00,0.00,0
41,12927263996,0.00,0.00,0.00,0.00,0
42,5744839855,0.71,0.71,0.00,0.00,basegame
43,5744839855,5.65,5.65,0.00,0.00,basegame
44,5744839855,4.24,4.24,0.00,0.00,basegame
45,12927263996,0.00,0.00,0.00,0.00,0
46,12927263996,0.00,0.00,0.00,0.00,0
47,12927263996,0.00,0.00,0.00,0.00,0
48,12927263996,0.00,0.00,0.00,0.00,0
49,12927263996,0.00,0.00,0.00,0.00,0
50,12927263996,0.00,0.00,0.00,0.00,0
51,12927263996,0.00,0.00,0.00,0.00,0
52,12927263996,0.00,0.00,0.00,0.00,0
53,12927263996,0.00,0.00,0.00,0.00,0
54,12927263996,0.00,0.00,0.00,0.00,0
55,12927263996,0.00,0.00,0.00,0.00,0
56,12927263996,0.00,0.00,0.00,0.00,0
57,12927263996,0.00,0.00,0.00,0.00,0
58,12927263996,0.00,0.00,0.00,0.00,0
59,5744839855,2.12,2.12,0.00,0.00,basegame
60,12927263996,0.00,0.00,0.00,0.00,0
61,12927263996,0.00,0.00,0.00,0.00,0
62,5744839855,3.25,3.25,0.00,0.00,basegame
63,12927263996,0.00,0.00,0.00,0.00,0
64,5744839855,4.94,4.94,0.00,0.00,basegame
65,12927263996,0.00,0.00,0.00,0.00,0
66,12927263996,0.00,0.00,0.00,0.00,0
67,12927263996,0.00,0.00,0.00,0.00,0
68,12927263996,0.00,0.00,0.00,0.00,0
69,5744839855,7.91,7.91,0.00,0.00,basegame
70,5744839855,0.85,0.85,0.00,0.00,basegame
71,12927263996,0.00,0.00,0.00,0.00,0
72,12927263996,0.00,0.00,0.00,0.00,0
73,12927263996,0.00,0.00,0.00,0.00,0
74,12927263996,0.00,0.00,0.00,0.00,0
75,12927263996,0.00,0.00,0.00,0.00,0
76,42246746434,0.85,0.00,0.85,0.00,freegame
77,12927263996,0.00,0.00,0.00,0.00,0
78,12927263996,0.00,0.00,0.00,0.00,0
79,5744839855,2.12,2.12,0.00,0.00,basegame
80,12927263996,0.00,0.00,0.00,0.00,0
81,12927263996,0.00,0.00,0.00,0.00,0
82,12927263996,0.00,0.00,0.00,0.00,0
83,12927263996,0.00,0.00,0.00,0.00,0
84,12927263996,0.00,0.00,0.00,0.00,0
85,12927263996,0.00,0.00,0.00,0.00,0
86,12927263996,0.00,0.00,0.00,0.00,0
87,12927263996,0.00,0.00,0.00,0.00,0
88,12927263996,0.00,0.00,0.00,0.00,0
89,12927263996,0.00,0.00,0.00,0.00,0
90,12927263996,0.00,0.00,0.00,0.00,0
91,12927263996,0.00,0.00,0.00,0.00,0
92,12927263996,0.00,0.00,0.00,0.00,0
93,12927263996,0.00,0.00,0.00,0.00,0
94,12927263996,0.00,0.00,0.00,0.00,0
95,5744839855,3.81,3.81,0.00,0.00,basegame
